bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.8
GF,temperature,0.9916083916083916,real,0.46153846153846156,gate_planes_resnet18_temperature,0.7702970297029704,0.7506981467377507,0.5290133981633817,0.7506981467377507,0.7215346534653465,0.7215346534653465,0.6872187218721872,0.5349378127181489,0.3203175616915499,0.03109707522476385,0.0018001800180018003,1,715,715,,imagesource,0.8500000000000001
GoogleEarth,temperature,0.8387096774193549,real,0.8564516129032258,gate_planes_resnet18_temperature,0.8673630973611341,0.8569114381177513,0.5989706805890173,0.8361127253967126,0.8134228607571755,0.7790075102689282,0.7267166581225211,0.6017175931059761,0.38247871352728585,0.12287521304601494,0.003100996186672992,1,3317,3317,,imagesource,0.8500000000000001
JL,temperature,0.983399209486166,real,0.3090909090909091,gate_planes_resnet18_temperature,0.2566692740525908,0.2469644638882493,0.1499370470442978,0.24506030808121065,0.23497128282154092,0.21347638750215675,0.16714639506803947,0.10084758261037169,0.029187212838930953,0.0050475635798874,0.0,1,1265,1265,,imagesource,0.8500000000000001
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.8500000000000001
GF,temperature,0.9916083916083916,real,0.46153846153846156,gate_planes_resnet18_temperature,0.7702970297029704,0.7506981467377507,0.5290133981633817,0.7506981467377507,0.7215346534653465,0.7215346534653465,0.6872187218721872,0.5349378127181489,0.3203175616915499,0.03109707522476385,0.0018001800180018003,1,715,715,,imagesource,0.9
GoogleEarth,temperature,0.8423274042809767,real,0.8387096774193549,gate_planes_resnet18_temperature,0.8578653174592489,0.8564290038880671,0.5953018506695443,0.8355896014710137,0.8041942639696944,0.7700738305139809,0.7183905506538455,0.6016328173159852,0.38272385741155274,0.12301826782538158,0.003100996186672992,1,3317,3317,,imagesource,0.9
JL,temperature,0.9881422924901185,real,0.21818181818181817,gate_planes_resnet18_temperature,0.1188118811881188,0.11834040546911834,0.06984605875677016,0.1081292339760292,0.1081292339760292,0.10753864860170226,0.07776040761970933,0.045565147647769706,0.01088529905622141,0.0033003300330033,0.0,1,1265,1265,,imagesource,0.9
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.9
GF,temperature,0.993006993006993,real,0.38461538461538464,gate_planes_resnet18_temperature,0.5815528921313184,0.5617754083100618,0.40643427497752666,0.5617754083100618,0.544004400440044,0.544004400440044,0.5085508550855085,0.4436138613861386,0.2842778690824548,0.030827258550030826,0.0039603960396039604,1,715,715,,imagesource,0.9500000000000001
GoogleEarth,temperature,0.8543864938197167,real,0.7774193548387097,gate_planes_resnet18_temperature,0.8183867486740521,0.8171661805420344,0.5706896618910037,0.7964015748900192,0.773862064854491,0.7404314382262046,0.6896900151890389,0.5755520288758422,0.3696130335054495,0.12269253796623238,0.003100996186672992,1,3317,3317,,imagesource,0.9500000000000001
JL,temperature,0.9920948616600791,real,0.16363636363636364,gate_planes_resnet18_temperature,0.09900990099009901,0.09871869539895166,0.06089625972627081,0.08815075055892685,0.08815075055892685,0.08815075055892685,0.08316361590076057,0.04873533571844579,0.01158246754466718,0.0033003300330033,0.0,1,1265,1265,,imagesource,0.9500000000000001
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.9500000000000001
GF,temperature,1.0,real,0.0,gate_planes_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,715,715,,imagesource,1.0
GoogleEarth,temperature,1.0,real,0.0,gate_planes_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3317,3317,,imagesource,1.0
JL,temperature,1.0,real,0.0,gate_planes_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1265,1265,,imagesource,1.0
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,1.0
